experience_coding,python_user,r_user,sql_user,most_used,compensation
6.1,False,False,True,Scikit-learn,124267
12.3,False,False,True,Scikit-learn,236889
2.2,False,False,False,nan,74321
2.7,False,False,True,nan,62593
1.2,False,False,False,Scikit-learn,36288
1.0,False,False,False,PyTorch,61302
1.8,False,False,False,nan,68984
6.1,False,False,False,TensorFlow,18858
4.5,False,False,True,Scikit-learn,55418
1.1,False,False,True,TensorFlow,614
2.7,False,False,True,nan,70564
0.93,False,False,False,Scikit-learn,55525
0.32,False,False,False,nan,61005
9.9,False,False,True,Scikit-learn,2846
0.78,False,False,False,TensorFlow,21
13.5,False,False,False,Scikit-learn,14699
26.5,False,False,True,Scikit-learn,2110
1.5,False,False,True,Scikit-learn,620
3.4,False,False,True,PyTorch,73527
0.6,False,False,False,nan,6992
0.95,False,False,False,nan,22311
4.6,False,False,True,Scikit-learn,1377
2.8,False,False,False,nan,69174
28.2,False,False,True,Scikit-learn,117636
1.4,False,False,True,TensorFlow,65937
4.8,False,False,False,Scikit-learn,27856
0.37,False,False,False,Scikit-learn,903
4.5,False,False,False,TensorFlow,50501
4.4,False,False,False,Scikit-learn,482
0.69,False,False,False,nan,70407
1.5,False,False,False,nan,8690
9.6,False,False,True,nan,114648
0.31,False,False,False,nan,73454
3.5,False,False,False,nan,8075
1.0,False,False,False,nan,59151
0.2,False,False,True,nan,70112
0.39,False,False,True,nan,70183
5.0,False,False,False,nan,64502
4.0,False,False,True,nan,2521
0.47,False,False,False,Scikit-learn,63616
8.1,False,False,True,Scikit-learn,59849
1.8,False,False,False,nan,31516
17.1,False,False,True,TensorFlow,18582
1.4,False,False,False,Keras,4187
1.3,False,False,False,nan,64405
3.1,False,False,False,Keras,114807
0.26,False,False,True,Scikit-learn,632
2.1,False,False,False,Scikit-learn,61157
4.4,False,False,True,Keras,1194
5.2,False,False,False,Scikit-learn,28955
0.7,False,False,True,TensorFlow,56553
0.69,False,False,False,nan,75177
1.3,False,False,True,nan,28009
1.5,False,False,True,Scikit-learn,67074
2.2,False,False,True,nan,50059
6.3,False,False,False,TensorFlow,7624
2.9,False,False,False,nan,74321
1.2,False,False,False,nan,671
1.5,False,False,True,TensorFlow,837
1.8,False,False,True,Scikit-learn,2011
0.91,False,False,False,Scikit-learn,62937
4.5,False,False,False,nan,685
1.6,False,False,True,Scikit-learn,41615
0.27,False,False,False,nan,52572
2.6,False,False,False,Scikit-learn,51856
1.7,False,False,False,Keras,411
0.74,False,False,False,nan,152
2.7,False,False,False,TensorFlow,8181
0.99,False,False,False,Keras,2708
24.8,False,False,False,Scikit-learn,55041
0.32,False,False,True,Scikit-learn,68412
3.5,False,False,True,TensorFlow,6141
5.7,False,False,True,nan,3979
22.0,False,False,False,Keras,3760
9.9,False,False,False,Keras,57465
3.9,False,False,False,Keras,3864
20.5,False,False,False,nan,488487
0.81,False,False,False,Scikit-learn,24393
9.8,False,False,False,TensorFlow,68624
1.5,False,False,True,nan,70796
12.3,False,False,True,Scikit-learn,236889
6.6,False,False,True,PyTorch,57861
2.1,False,False,False,nan,21055
2.5,False,False,False,Keras,59167
0.0,False,False,False,nan,55882
1.7,False,False,False,nan,73802
5.3,False,False,True,Scikit-learn,21206
1.4,False,False,True,Scikit-learn,79803
1.5,False,False,True,nan,73043
28.2,False,False,True,PyTorch,268191
0.97,False,False,True,Scikit-learn,14298
1.1,False,False,True,Scikit-learn,68805
7.0,False,False,False,TensorFlow,56003
1.0,False,False,True,nan,73664
0.71,False,False,True,Scikit-learn,434
9.3,False,False,False,Keras,52109
